cod_eve,fec_not,semana,año,cod_pre,cod_sub,cod_mun_,num_con,gru_1,gru_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,grupo_10,grupo_11,grupo_12,grupo_13,grupo_14,grupo_15,grupo_16,grupo_17,grupo_18,cas_sos,cas_pro,cas_conl,cas_conc,cas_conn,hombres,mujeres,vivos,muertos,pte_hos,pte_amb,cod_dpto_p,cod_mun_pr,bar_sector,sospe_even,cual_ot_ev,ajuste,fec_aju,version_a,nit_upgd,nom_upgd,ndep_notif,nmun_notif,ndep_proce,nmun_proce,version_b,unnamed:_52,unnamed:_53,suma_fed,suma_fed_<5,archivo_origen,carpeta_evento
998,2025-02-08,6,2025,7367100704,01,73671,1100217487,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,4,,3,1,4,0,0,4,73,671,HOSPITAL SAN CARLOS,,,0,10/02/2025,,890701300,HOSPITAL SAN CARLOS ESE SALDAÑA TOLIMA,TOLIMA,SALDANA,TOLIMA,SALDANA,,4,2,1,2,BD-998.xlsx,raw
998,2025-02-15,7,2025,7344913600,99,73449,1100218204,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,,,,6,,6,0,6,0,0,6,73,449,99999999,,,0,15/02/2025,,8090033051,CPMSMELGAR,TOLIMA,MELGAR,TOLIMA,MELGAR,,6,0,0,0,BD-998.xlsx,raw
998,2025-02-15,7,2025,7326802875,04,73268,1100218492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,1,0,1,0,0,1,73,268,ESPINAL ,,,0,15/02/2025,,900219120,VIVA1A,TOLIMA,ESPINAL,TOLIMA,ESPINAL,,1,0,0,0,BD-998.xlsx,raw
998,2025-02-15,7,2025,7300185175,80,73001,1100218609,1,0,1,5,6,3,2,2,3,5,1,2,3,2,0,2,0,3,,,,41,,23,18,41,0,0,41,73,001,KM3 VIA ARMENIA ,,,0,15/02/2025,,8300346705,BATALLON DE ASPC NO 6 FRANCISCO ANTONIO ZEA,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,41,1,7,1,BD-998.xlsx,raw
998,2025-03-22,12,2025,7354700941,01,73547,1100242127,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,2,,1,1,2,0,0,2,73,547,CENTRO,,,0,24/03/2025,,809005249,HOSPITAL SAN SEBASTIAN DE PIEDRAS,TOLIMA,PIEDRAS,TOLIMA,PIEDRAS,,2,1,0,1,BD-998.xlsx,raw
998,2025-03-22,12,2025,7387000770,01,73870,1100242241,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,4,,1,3,4,0,0,4,73,870,VILLAHERMOSA,,,0,24/03/2025,,8907045059,HOSPITAL ISMAEL PERDOMO,TOLIMA,VILLAHERMOSA,TOLIMA,VILLAHERMOSA,,4,1,0,1,BD-998.xlsx,raw
998,2025-03-22,12,2025,7341100687,01,73411,1100242433,0,7,3,2,0,3,1,1,1,0,0,0,0,0,2,0,1,0,,,,21,,13,8,21,0,0,21,73,411,HRAJS,,,0,25/03/2025,,8907017187,HOSPITAL REGIONAL DEL LIBANO ESE,TOLIMA,LIBANO,TOLIMA,LIBANO,,21,7,3,7,BD-998.xlsx,raw
998,2025-03-29,13,2025,7344301090,10,73443,1100243248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,1,,0,1,1,0,0,1,73,443,SANTA LUCIA,,,0,29/03/2025,,800000150,EMPRESA COOPERATIVO DE SERVICIOS DE SALUD EMCOSALU,TOLIMA,MARIQUITA,TOLIMA,MARIQUITA,,1,0,1,0,BD-998.xlsx,raw
998,2025-03-29,13,2025,7350400703,01,73504,1100243423,0,1,0,1,0,2,0,1,0,1,0,2,0,0,0,0,1,1,,,,10,,7,3,10,0,0,10,73,504,99999999,,,0,29/03/2025,,8907009671,HOSPITAL SAN JOSE ESE,TOLIMA,ORTEGA,TOLIMA,ORTEGA,,10,1,2,1,BD-998.xlsx,raw
998,2025-03-29,13,2025,7326802386,02,73268,1100243570,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,3,,2,1,3,0,0,3,73,268,ESPINAL,,,0,29/03/2025,,9006617402,SANTA SOFIA IPS SAS,TOLIMA,ESPINAL,TOLIMA,ESPINAL,,3,1,0,1,BD-998.xlsx,raw
998,2025-03-29,13,2025,7300102822,02,73001,1100243996,0,0,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,,,,7,,4,3,7,0,0,7,73,001,QUINTA,,,0,31/03/2025,,8000037651,VIRREY SOLIS IPS SA QUINTA ,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,7,0,0,0,BD-998.xlsx,raw
998,2025-04-26,17,2025,7300101381,01,73001,1100262594,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,,,,5,,2,3,5,0,0,5,73,001,9999999,,,0,28/04/2025,,8090127161,SERVICIO ASISTENCIAL MEDICO INTEGRAL DOMICILIARIO,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,5,0,2,0,BD-998.xlsx,raw
998,2025-04-28,18,2025,7344302956,01,73443,1100262920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,1,1,0,0,1,73,443,CLINICA TRAUMA NORTE,,,0,28/04/2025,,9011002233,CLINICA TRAUMANORTE SAS,TOLIMA,MARIQUITA,TOLIMA,MARIQUITA,,1,1,0,1,BD-998.xlsx,raw
998,2025-04-26,17,2025,7387000770,01,73870,1100263686,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,4,,1,3,4,0,0,4,73,870,VILLAHERMOSA,,,0,28/04/2025,,8907045059,HOSPITAL ISMAEL PERDOMO,TOLIMA,VILLAHERMOSA,TOLIMA,VILLAHERMOSA,,4,2,0,2,BD-998.xlsx,raw
998,2025-01-03,1,2025,7326871071,00,73268,1100199964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,,1,0,1,0,0,1,73,268,ISAIAS OLIVAR,,,0,03/01/2025,,9004864391,ESCUELA DE POLICIA GABRIEL GONZALEZ,TOLIMA,ESPINAL,TOLIMA,ESPINAL,,1,0,0,0,BD-998.xlsx,raw
998,2025-01-04,1,2025,7300103400,01,73001,1100200421,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,1,,0,1,1,0,0,1,73,001,IBAGUE,,,0,04/01/2025,,8002232061,BIENESTAR IPS SAS,TOLIMA,IBAGUE,TOLIMA,IBAGUE,,1,0,0,0,BD-998.xlsx,raw
998,2025-01-04,1,2025,7326802875,04,73268,1100200814,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,1,,1,0,1,0,0,1,73,268,ESPINAL ,,,0,04/01/2025,,900219120,VIVA1A,TOLIMA,ESPINAL,TOLIMA,ESPINAL,,1,0,0,0,BD-998.xlsx,raw
998,2025-01-04,1,2025,7322601043,01,73226,1100200993,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,1,1,2,0,0,2,73,226,9999999999,,,0,04/01/2025,,890702080,HOSPITAL FEDERICO ARBELAEZ EMPRESA SOCIAL DEL ESTA,TOLIMA,CUNDAY,TOLIMA,CUNDAY,,2,1,0,1,BD-998.xlsx,raw
